audit_id,payment_id,timestamp,model_probability,recovery_priority,recommended_action,decision_threshold,effective_retry_cost,expected_recovery,expected_retry_net_value,decision_reason,key_input_factors,strategy_name,simulated_recovered,simulated_recovered_revenue,action_cost,net_recovered_revenue
dbd5c09498766248,pay_000001,2026-09-02T12:00:00Z,0.4076178854195945,MEDIUM,Retry Payment,0.05,50.0,334.923311733864,284.923311733864,"The model estimates the probability of recovery based on payment characteristics. Under the simulation assumptions, the expected recovery (₹334.92) exceeds the effective retry cost (₹50.00), so an automated retry is economically justified.",Payment amount: ₹821.66 | Historical success rate: 100% | Past successful payments: 9 | Past failed payments: 0 | Failure reason: insufficient_funds | Recovery attempts so far: 3 | Days overdue: 12,Optimized Selective Strategy,0,0.0,50.0,-50.0
c580a902e3f5876c,pay_000002,2026-09-02T12:00:00Z,0.1601916407674851,LOW,Retry Payment,0.05,50.0,69.75224613938603,19.75224613938603,"The model estimates the probability of recovery based on payment characteristics. Under the simulation assumptions, the expected recovery (₹69.75) exceeds the effective retry cost (₹50.00), so an automated retry is economically justified.",Payment amount: ₹435.43 | Historical success rate: 93% | Past successful payments: 14 | Past failed payments: 1 | Failure reason: limit_exceeded | Recovery attempts so far: 3 | Days overdue: 19,Optimized Selective Strategy,0,0.0,50.0,-50.0
6e9f82e2acf7858e,pay_000003,2026-09-02T12:00:00Z,0.5873149362327083,MEDIUM,Retry Payment,0.05,50.0,561.2146604665267,511.21466046652665,"The model estimates the probability of recovery based on payment characteristics. Under the simulation assumptions, the expected recovery (₹561.21) exceeds the effective retry cost (₹50.00), so an automated retry is economically justified.",Payment amount: ₹955.56 | Historical success rate: 83% | Past successful payments: 10 | Past failed payments: 2 | Failure reason: technical_error | Recovery attempts so far: 1 | Days overdue: 27,Optimized Selective Strategy,0,0.0,50.0,-50.0
eb62a6c0691f7006,pay_000004,2026-09-02T12:00:00Z,0.9678730703937536,HIGH,Retry Payment,0.05,50.0,2219.3813440663967,2169.3813440663967,"The model estimates the probability of recovery based on payment characteristics. Under the simulation assumptions, the expected recovery (₹2,219.38) exceeds the effective retry cost (₹50.00), so an automated retry is economically justified.","Payment amount: ₹2,293.05 | Historical success rate: 100% | Past successful payments: 3 | Past failed payments: 0 | Failure reason: technical_error | Recovery attempts so far: 0 | Days overdue: 24",Optimized Selective Strategy,1,2293.05,50.0,2243.05
f9325a8705263593,pay_000005,2026-09-02T12:00:00Z,0.0203618502832363,LOW,Do Nothing,0.05,50.0,8.055555209053946,-41.94444479094605,"The model estimates the probability of recovery based on payment characteristics. The Stage 5 rule-based engine places this payment below the automatic-retry band, so automatic retry is stopped. The model estimates very low recovery probability.",Payment amount: ₹395.62 | Historical success rate: 83% | Past successful payments: 10 | Past failed payments: 2 | Failure reason: invalid_card | Recovery attempts so far: 1 | Days overdue: 27,Optimized Selective Strategy,0,0.0,0.0,0.0
3072e845c3c034b1,pay_000006,2026-09-02T12:00:00Z,0.3962835908902737,MEDIUM,Retry Payment,0.05,50.0,156.78167706391898,106.78167706391898,"The model estimates the probability of recovery based on payment characteristics. Under the simulation assumptions, the expected recovery (₹156.78) exceeds the effective retry cost (₹50.00), so an automated retry is economically justified.",Payment amount: ₹395.63 | Historical success rate: 95% | Past successful payments: 19 | Past failed payments: 1 | Failure reason: insufficient_funds | Recovery attempts so far: 2 | Days overdue: 15,Optimized Selective Strategy,0,0.0,50.0,-50.0
ea6bd29ae1a68722,pay_000007,2026-09-02T12:00:00Z,0.4931803625661025,MEDIUM,Retry Payment,0.05,50.0,1196.2434920294613,1146.2434920294613,"The model estimates the probability of recovery based on payment characteristics. Under the simulation assumptions, the expected recovery (₹1,196.24) exceeds the effective retry cost (₹50.00), so an automated retry is economically justified.","Payment amount: ₹2,425.57 | Historical success rate: 75% | Past successful payments: 3 | Past failed payments: 1 | Failure reason: insufficient_funds | Recovery attempts so far: 0 | Days overdue: 27",Optimized Selective Strategy,0,0.0,50.0,-50.0
d9060c55cc776579,pay_000008,2026-09-02T12:00:00Z,0.8841458906075882,HIGH,Retry Payment,0.05,50.0,952.3312216912453,902.3312216912453,"The model estimates the probability of recovery based on payment characteristics. Under the simulation assumptions, the expected recovery (₹952.33) exceeds the effective retry cost (₹50.00), so an automated retry is economically justified.","Payment amount: ₹1,077.12 | Historical success rate: 89% | Past successful payments: 24 | Past failed payments: 3 | Failure reason: technical_error | Recovery attempts so far: 3 | Days overdue: 6",Optimized Selective Strategy,1,1077.12,50.0,1027.12
a3016e13e51fe68a,pay_000009,2026-09-02T12:00:00Z,0.6752475960616017,HIGH,Retry Payment,0.05,50.0,211.129665860581,161.129665860581,"The model estimates the probability of recovery based on payment characteristics. Under the simulation assumptions, the expected recovery (₹211.13) exceeds the effective retry cost (₹50.00), so an automated retry is economically justified.",Payment amount: ₹312.67 | Historical success rate: 88% | Past successful payments: 14 | Past failed payments: 2 | Failure reason: insufficient_funds | Recovery attempts so far: 1 | Days overdue: 4,Optimized Selective Strategy,1,312.67,50.0,262.67
a939a06dae02929a,pay_000010,2026-09-02T12:00:00Z,0.1737218963063253,LOW,Retry Payment,0.05,50.0,149.43557520270105,99.43557520270105,"The model estimates the probability of recovery based on payment characteristics. Under the simulation assumptions, the expected recovery (₹149.44) exceeds the effective retry cost (₹50.00), so an automated retry is economically justified.",Payment amount: ₹860.20 | Historical success rate: 60% | Past successful payments: 6 | Past failed payments: 4 | Failure reason: insufficient_funds | Recovery attempts so far: 3 | Days overdue: 6,Optimized Selective Strategy,0,0.0,50.0,-50.0
41a65e55493f1870,pay_000011,2026-09-02T12:00:00Z,0.1964499304983979,LOW,Retry Payment,0.05,50.0,61.795290137576046,11.795290137576046,"The model estimates the probability of recovery based on payment characteristics. Under the simulation assumptions, the expected recovery (₹61.80) exceeds the effective retry cost (₹50.00), so an automated retry is economically justified.",Payment amount: ₹314.56 | Historical success rate: 92% | Past successful payments: 12 | Past failed payments: 1 | Failure reason: invalid_card | Recovery attempts so far: 3 | Days overdue: 2,Optimized Selective Strategy,0,0.0,50.0,-50.0
