threshold,retry_count,retry_percentage,expected_recovery,recovery_cost,expected_net_recovery,recovery_per_retry,roi
0.0,20000,100.0,7183345.395175122,1000000.0,6183345.395175122,359.1672697587561,7.183345395175122
0.05,18522,92.61,7144937.778953508,926100.0,6218837.778953508,385.75411828925104,7.715082365785021
0.1,16947,84.735,7046992.727826148,847350.0,6199642.727826148,415.8253807650999,8.316507615301997
0.15000000000000002,15486,77.42999999999999,6902072.740146805,774300.0,6127772.740146805,445.69758105042,8.913951621008401
0.2,14147,70.735,6714968.861284334,707350.0,6007618.861284334,474.65673720819495,9.4931347441639
0.25,13030,65.14999999999999,6498703.939862515,651500.0,5847203.939862515,498.7493430439382,9.974986860878763
0.30000000000000004,11911,59.555,6256877.399634797,595550.0,5661327.399634797,525.3024430891443,10.506048861782885
0.35000000000000003,10894,54.47,5980369.842021997,544700.0,5435669.842021997,548.9599634681473,10.979199269362947
0.4,9867,49.335,5671067.606371921,493350.0,5177717.606371921,574.7509482489024,11.49501896497805
0.45,8914,44.57,5337502.444237597,445700.0,4891802.444237597,598.7774785996855,11.975549571993712
0.5,8015,40.075,4964844.305269376,400750.0,4564094.305269376,619.4440805077201,12.388881610154401
0.55,7139,35.695,4585242.694588449,356950.0,4228292.694588449,642.2808088791776,12.845616177583551
0.6000000000000001,6292,31.46,4169921.132443438,314600.0,3855321.132443438,662.7338099878318,13.254676199756636
0.65,5491,27.455000000000002,3744686.2767486935,274550.0,3470136.2767486935,681.9679979509549,13.6393599590191
0.7000000000000001,4649,23.244999999999997,3274119.11915897,232450.0,3041669.11915897,704.2630929574037,14.085261859148076
0.75,3836,19.18,2773046.017282924,191800.0,2581246.017282924,722.9004216066018,14.458008432132035
0.8,3041,15.204999999999998,2235158.0094806794,152050.0,2083108.0094806794,735.0075664191645,14.70015132838329
0.8500000000000001,2247,11.235000000000001,1728478.0290184414,112350.0,1616128.0290184414,769.2381081523994,15.384762163047988
0.9,1434,7.17,1147151.400922812,71700.0,1075451.400922812,799.9661094301339,15.999322188602678
0.9500000000000001,568,2.8400000000000003,471375.9881363385,28400.0,442975.9881363385,829.8873030569339,16.59774606113868
